source,target,context,type
adriana fuentes cortes,ayuntamiento de queretaro|2003-2006,Regidora en el #[[Ayuntamiento de Querétaro 2003-2006]],
adriana fuentes cortes,ayuntamiento de queretaro|2021-2024,Regidora en el #[[Ayuntamiento de Querétaro 2021-2024]],
adriana vega vazquez mellado,rogelio vega vazquez mellado,Hermana de [[Rogelio Vega Vázquez Mellado]],
agapito pozo balbas,21 04 1899,Nació el 21 de abril de 1899. [[21-04-1899]],
agapito pozo balbas,30 04 1976,Falleció el 30 de abril de 1976. [[30-04-1976]],
agustin dorantes lambarri,poder ejecutivo de la federacion,Secretario de Desarrollo Social  en el [[Poder Ejecutivo de la Federación]] con [[Francisco Domínguez Servién]] durante el [[Sexenio 2015-2021]],
agustin dorantes lambarri,francisco dominguez servien,Secretario de Desarrollo Social  en el [[Poder Ejecutivo de la Federación]] con [[Francisco Domínguez Servién]] durante el [[Sexenio 2015-2021]],
agustin dorantes lambarri,sexenio|2015-2021,Secretario de Desarrollo Social  en el [[Poder Ejecutivo de la Federación]] con [[Francisco Domínguez Servién]] durante el [[Sexenio 2015-2021]],
agustin dorantes lambarri,poder ejecutivo del estado de queretaro,Secretario de Desarrollo Social en el [[Poder Ejecutivo del Estado de Querétaro]] con [[Mauricio Kuri González]] durante los primeros tres años del [[Sexenio 2021-2027]],
agustin dorantes lambarri,mauricio kuri gonzalez,Secretario de Desarrollo Social en el [[Poder Ejecutivo del Estado de Querétaro]] con [[Mauricio Kuri González]] durante los primeros tres años del [[Sexenio 2021-2027]],
agustin dorantes lambarri,sexenio|2021-2027,Secretario de Desarrollo Social en el [[Poder Ejecutivo del Estado de Querétaro]] con [[Mauricio Kuri González]] durante los primeros tres años del [[Sexenio 2021-2027]],
agustin lopez guerra,fernando ortiz arana,Candidato al Senado de la República en 1994 por el PRD. Contendió contra #[[Fernando Ortiz Arana]] y #[[Arturo Nava Bolaños]].,
agustin lopez guerra,arturo nava bolanos,Candidato al Senado de la República en 1994 por el PRD. Contendió contra #[[Fernando Ortiz Arana]] y #[[Arturo Nava Bolaños]].,
agustin lopez guerra,cbtis118,Profesor en en #CBTIS118,hashtag
agustin lopez y lopez,familia lopez y lopez,Forma parte de la familia #[[Familia López y López]],
agustin romero lopez,instituto militarizado benjamin n velasco,Fue director del #[[Instituto Militarizado Benjamin N Velasco]] desde 1925 a 1972.,
agustin romero lopez,venerablegranmaestrogrado33,"Obtuvo el grado de #VenerableGranMaestroGrado33 , el máximo logro en las logias masónicas.",hashtag
agustin romero lopez,familia lopez y lopez,Formó la familia #[[Familia López y López]],
agustin romero lopez,instituto metodista de queretaro,Estudió la primaria en el #[[Instituto Metodista de Querétaro]] donde fue alumno de #[[Benjamín Noriega Velasco]] . Concluyó la educación primaria en 1904.,
agustin romero lopez,benjamin noriega velasco,Estudió la primaria en el #[[Instituto Metodista de Querétaro]] donde fue alumno de #[[Benjamín Noriega Velasco]] . Concluyó la educación primaria en 1904.,
agustin romero lopez,saturninoosornio,Fue nombrado director de la Escuela Normal del Estado por el gobernador #SaturninoOsornio,hashtag
alejandro cano alcala,lvii legislatura del estado de queretaro,Diputado en la #[[LVII Legislatura del Estado de Querétaro]] .,
alejandro cano alcala,beatriz robles,"Candidato a diputado federal por el Distrito 03 en 2018, perdió contra #[[Beatriz Robles]] de MORENA.",
alejandro gonzalez valle,armando alejandro rivera castillejos,Secretario de Servicios Públicos Municipales con [[Armando Alejandro Rivera Castillejos]] en el Trienio [[Ayuntamiento de Querétaro 2003-2006]],
alejandro gonzalez valle,ayuntamiento de queretaro|2003-2006,Secretario de Servicios Públicos Municipales con [[Armando Alejandro Rivera Castillejos]] en el Trienio [[Ayuntamiento de Querétaro 2003-2006]],
alejandro gonzalez valle,manuel gonzalez valle,Secretario de Servicios Públicos Municipales con [[Manuel González Valle]] en el trienio [[Ayuntamiento de Querétaro 2006-2009]],
alejandro gonzalez valle,ayuntamiento de queretaro|2006-2009,Secretario de Servicios Públicos Municipales con [[Manuel González Valle]] en el trienio [[Ayuntamiento de Querétaro 2006-2009]],
alfredo botello aranda,mauricio kuri gonzalez,Titular de la Notaría No 49. Nombrado por el gobernador #[[Mauricio Kuri González]] en marzo de 2023.,
alfredo botello aranda,familia botello aranda,Forma parte de la #[[Familia Botello Aranda]],
ana maria gonzalez,ana gonzalez jauregui,Hija de [[Ana González Jáuregui]],
andres manuel lopezobrador,morena,Fundador de [[MORENA]],
andres manuel lopezobrador,prd,Candidato presidencial del [[PRD]] en 2006,
