id,label,base_name,period,file,links,hashtags
adriana fuentes cortes,Adriana Fuentes Cortés,Adriana Fuentes Cortés,,pages/Adriana Fuentes Cortés.md,"['Ayuntamiento de Querétaro 2003-2006', 'Ayuntamiento de Querétaro 2021-2024']",[]
adriana vega vazquez mellado,Adriana Vega Vázquez Mellado,Adriana Vega Vázquez Mellado,,pages/Adriana Vega Vázquez Mellado.md,['Rogelio Vega Vázquez Mellado'],[]
agapito pozo balbas,Agapito Pozo Balbás,Agapito Pozo Balbás,,pages/Agapito Pozo Balbás.md,"['21-04-1899', '30-04-1976']",[]
agustin dorantes lambarri,Agustín Dorantes Lámbarri,Agustín Dorantes Lámbarri,,pages/Agustín Dorantes Lámbarri.md,"['Poder Ejecutivo de la Federación', 'Francisco Domínguez Servién', 'Sexenio 2015-2021', 'Poder Ejecutivo del Estado de Querétaro', 'Mauricio Kuri González', 'Sexenio 2021-2027']",[]
agustin lopez guerra,Agustín López Guerra,Agustín López Guerra,,pages/Agustín López Guerra.md,"['Fernando Ortiz Arana', 'Arturo Nava Bolaños']",['CBTIS118']
agustin lopez y lopez,Agustín López y López,Agustín López y López,,pages/Agustín López y López.md,['Familia López y López'],[]
agustin romero lopez,Agustín Romero López,Agustín Romero López,,pages/Agustín Romero López.md,"['Instituto Militarizado Benjamin N Velasco', 'Familia López y López', 'Instituto Metodista de Querétaro', 'Benjamín Noriega Velasco']","['VenerableGranMaestroGrado33', 'SaturninoOsornio']"
alejandro cano alcala,Alejandro Cano Alcalá,Alejandro Cano Alcalá,,pages/Alejandro Cano Alcalá.md,"['LVII Legislatura del Estado de Querétaro', 'Beatriz Robles']",[]
alejandro gonzalez valle,Alejandro González Valle,Alejandro González Valle,,pages/Alejandro González Valle.md,"['Armando Alejandro Rivera Castillejos', 'Ayuntamiento de Querétaro 2003-2006', 'Manuel González Valle', 'Ayuntamiento de Querétaro 2006-2009']",[]
alfredo botello aranda,Alfredo Botello Aranda,Alfredo Botello Aranda,,pages/Alfredo Botello Aranda.md,"['Mauricio Kuri González', 'Familia Botello Aranda']",[]
ana maria gonzalez,Ana María González,Ana María González,,pages/Ana María González.md,['Ana González Jáuregui'],[]
andres manuel lopezobrador,Andrés Manuel LópezObrador,Andrés Manuel LópezObrador,,pages/Andrés Manuel LópezObrador.md,"['MORENA', 'PRD', 'PRD', 'Distrito Federal']",[]
antonio calzada urquiza,Antonio Calzada Urquiza,Antonio Calzada Urquiza,,pages/Antonio Calzada Urquiza.md,"['José Eduardo Calzada Rovirosa', 'Teresita Calzada Rovirosa', 'Poder Ejecutivo del Estado de Querétaro', 'Sexenio 1973-1979']",[]
antonio rangel mendez,Antonio Rangel Méndez,Antonio Rangel Méndez,,pages/Antonio Rangel Méndez.md,"['Ricardo Anaya Cortés', 'Mauricio Kuri González', 'José Luis Báez Guerrero']",[]
apolinar casillas gutierrez,Apolinar Casillas Gutiérrez,Apolinar Casillas Gutiérrez,,pages/Apolinar Casillas Gutiérrez.md,"['Mauricio Kuri González', 'LIV Legislatura del Estado de Querétaro', 'LVII Legislatura del Estado de Querétaro', 'Ayuntamiento de Querétaro 2006-2009', 'Ayuntamiento de Querétaro 2009-2012', 'LXIII Legislatura Federal']",[]
armando alejandro rivera castillejos,Armando Alejandro Rivera Castillejos,Armando Alejandro Rivera Castillejos,,pages/Armando Alejandro Rivera Castillejos.md,['Ayuntamiento de Querétaro 2003-2006'],[]
arturo almaguer,Arturo Almaguer,Arturo Almaguer,,pages/Arturo Almaguer.md,['Luis Bernardo Nava Guerrero'],[]
arturo molina zamora,Arturo Molina Zamora,Arturo Molina Zamora,,pages/Arturo Molina Zamora.md,"['Luis Bernardo Nava Guerrero', 'Enrique Antonio Correa Sada', 'Martha Elena Soto Obregón', 'Guadalupe Murguía Gutiérrez', 'Instituto Nacional de Migración', 'Vicente Fox Quesada']",[]
arturo nava bolanos,Arturo Nava Bolaños,Arturo Nava Bolaños,,pages/Arturo Nava Bolaños.md,"['Enrique Burgos García', 'Fernando Ortiz Arana', 'Agustín López Guerra', 'Jesús Puga Tovar']",[]
arturo nava guerrero,Arturo Nava Guerrero,Arturo Nava Guerrero,,pages/Arturo Nava Guerrero.md,['Darío Morales López'],[]
arturo torres gutierrez,Arturo Torres Gutiérrez,Arturo Torres Gutiérrez,,pages/Arturo Torres Gutiérrez.md,"['Luis Bernardo Nava Guerrero', 'Ayuntamiento de Querétaro 2018-2021', 'Ayuntamiento de Corregidora 2021-2024', 'PAN', 'Arturo Maximiliano García Pérez', 'Sexenio 2021-2027', 'Mauricio Kuri González']",[]
ayuntamiento de queretaro|2000-2003,Ayuntamiento de Querétaro 2000-2003,Ayuntamiento de Querétaro,2000-2003,pages/Ayuntamiento de Querétaro 2000-2003.md,"['Rolando García Ortiz', 'Joaquín Gerardo González de León', 'Pablo Meré Alcocer']",[]
